CustomerID,Age,Gender,Country,TenureMonths,MonthlySpend,SupportTickets,ContractType,PaymentMethod,Churn
1047,48,,USA,54.0,105.69,2.0,Monthly,crypto,No
1048,49,Male,UK,47.0,111.72,3.0,Monthly,,No
1049,46,M,,42.0,81.54,5.0,,,Yes
1050,62,F,USA,20.0,119.93,3.0,,PayPal,Yes
1051,19,,USA,32.0,109.65,1.0,monthly,crypto,No
1052,42,F,Canada,58.0,26.35,1.0,Monthly,,Yes
1053,69,,USA,42.0,90.72,2.0,Yearly,Credit Card,Yes
1054,50,Male,india,8.0,58.54,1.0,,,Yes
1055,62,M,USA,32.0,100.39,3.0,,crypto,Yes
1056,30,,UK,50.0,19.25,2.0,Monthly,,Yes
1057,43,M,USA,37.0,85.59,1.0,Monthly,crypto,No
1058,26,,UK,12.0,43.99,1.0,,crypto,No
1059,65,M,Canada,25.0,69.96,3.0,Yearly,crypto,No
1060,22,M,UK,22.0,44.49,0.0,,,No
1061,46,Female,USA,14.0,86.87,0.0,,,No
1062,unknown,M,UK,49.0,100.97,2.0,,,No
1063,27,M,Canada,54.0,98.0,1.0,Yearly,Bank Transfer,Yes
1064,48,,UK,10.0,81.76,2.0,,,No
1065,41,M,UK,16.0,150.44,1.0,Monthly,Credit Card,No
1066,49,F,USA,27.0,98.24,1.0,Yearly,Credit Card,No
1067,68,Male,Australia,43.0,110.98,4.0,,Bank Transfer,Yes
1068,30,F,india,12.0,88.43,0.0,,Bank Transfer,No
1069,25,,Usa,29.0,61.32,1.0,Monthly,PayPal,Yes
1070,51,Male,Australia,51.0,61.33,5.0,monthly,,No
1071,27,M,,37.0,69.34,4.0,Monthly,,Yes
1072,56,Female,USA,32.0,96.41,4.0,monthly,crypto,Yes
1073,34,F,Canada,49.0,73.93,,,,No
1074,36,Female,Usa,49.0,67.66,4.0,monthly,,Yes
1075,22,,Usa,35.0,109.52,2.0,,Credit Card,No
1076,40,,USA,16.0,59.03,3.0,,,Yes
1077,35,M,USA,47.0,79.74,1.0,,crypto,No
1078,61,,,17.0,67.0,2.0,Yearly,Bank Transfer,No
1079,54,Male,Usa,38.0,86.11,3.0,,crypto,Yes
1080,24,Male,Australia,25.0,27.7,2.0,monthly,,No
1081,56,F,UK,27.0,112.08,1.0,Yearly,Credit Card,No
1082,20,M,,45.0,79.44,0.0,,,No
1083,45,F,Canada,8.0,71.34,0.0,Yearly,,Yes
1084,58,F,USA,39.0,95.58,2.0,Yearly,crypto,Yes
1085,50,M,,38.0,125.98,4.0,Monthly,,Yes
1086,33,Female,USA,54.0,105.31,0.0,Monthly,Bank Transfer,No
1087,64,F,,41.0,48.01,1.0,monthly,PayPal,Yes
1088,18,,Usa,53.0,53.08,3.0,Monthly,Bank Transfer,Yes
1089,55,Female,UK,12.0,125.77,0.0,Monthly,,No
1090,25,,UK,58.0,75.27,2.0,,Bank Transfer,Yes
1091,58,,Canada,36.0,39.35,3.0,Yearly,crypto,No
1092,37,M,india,13.0,,5.0,,Bank Transfer,Yes
1093,47,,USA,50.0,94.76,1.0,Yearly,,No
1094,50,M,Usa,54.0,88.86,4.0,Monthly,,Yes
1095,52,,Canada,1.0,47.08,0.0,Yearly,PayPal,Yes
1096,23,M,india,28.0,80.16,4.0,,Bank Transfer,No
1097,63,Male,UK,1.0,81.41,2.0,,,No
1098,66,M,india,40.0,33.98,0.0,,,No
1099,43,Male,india,58.0,118.33,4.0,Monthly,,No
1100,22,F,USA,30.0,72.53,0.0,Monthly,PayPal,Yes
1101,64,,Usa,23.0,109.15,3.0,,,Yes
1102,55,M,USA,34.0,111.75,3.0,monthly,Credit Card,No
1103,55,M,USA,33.0,27.24,5.0,,Credit Card,Yes
1104,34,Male,USA,10.0,83.84,1.0,Monthly,,Yes
1105,60,Female,Canada,48.0,65.56,2.0,Yearly,PayPal,No
1106,33,Male,UK,,128.35,1.0,Yearly,Bank Transfer,Yes
1107,42,Male,Usa,3.0,55.61,4.0,,,Yes
1108,38,,india,5.0,41.59,0.0,,crypto,Yes
1109,23,Male,USA,1.0,40.95,3.0,,,No
1110,43,M,Australia,45.0,61.24,3.0,,,Yes
1111,65,F,Canada,17.0,71.79,3.0,monthly,,No
1112,32,F,USA,47.0,71.75,2.0,monthly,PayPal,Yes
1113,62,M,Usa,26.0,10.94,0.0,Monthly,Bank Transfer,No
1114,68,Female,UK,7.0,106.01,1.0,monthly,Credit Card,No
1115,35,,,58.0,94.13,,monthly,Credit Card,Yes
1116,54,M,Canada,,60.6,0.0,Yearly,,Yes
1117,34,F,Australia,13.0,47.55,4.0,,,Yes
1118,64,,USA,22.0,125.69,1.0,,crypto,No
1119,58,M,Australia,37.0,96.17,2.0,monthly,Credit Card,Yes
1120,62,Male,UK,6.0,38.04,0.0,monthly,Credit Card,Yes
1121,23,Female,Australia,6.0,96.89,1.0,monthly,Credit Card,No
1122,28,Male,Australia,30.0,81.46,2.0,,Bank Transfer,Yes
1123,19,Female,,20.0,55.07,4.0,,Credit Card,Yes
1124,68,Male,Australia,57.0,88.58,2.0,Monthly,,Yes
1125,43,M,Canada,54.0,133.49,2.0,Yearly,Bank Transfer,Yes
1126,29,,USA,47.0,109.62,0.0,,crypto,No
1127,28,Female,Australia,36.0,102.93,2.0,Monthly,Bank Transfer,Yes
1128,27,Male,Canada,5.0,110.19,2.0,,,No
1129,28,,USA,15.0,62.69,2.0,,,Yes
1130,66,M,Usa,5.0,91.13,2.0,,,Yes
1131,57,F,Australia,22.0,61.88,0.0,monthly,Credit Card,No
1132,46,M,Canada,8.0,95.96,2.0,monthly,Credit Card,Yes
1133,36,,Usa,59.0,100.89,3.0,,crypto,No
1134,35,,Usa,40.0,133.17,3.0,Monthly,Bank Transfer,No
1135,50,F,UK,25.0,68.05,2.0,Monthly,,Yes
1136,57,,UK,40.0,53.46,3.0,,PayPal,No
1137,,,UK,47.0,88.61,4.0,Yearly,,Yes
1138,50,F,,37.0,65.09,2.0,monthly,crypto,No
1139,27,,UK,33.0,91.64,0.0,Monthly,,Yes
1140,30,M,Australia,31.0,56.62,3.0,Yearly,crypto,No
1141,21,F,india,12.0,14.1,1.0,monthly,Credit Card,No
1142,68,M,,51.0,131.18,4.0,,Credit Card,Yes
1143,,Female,india,47.0,95.51,3.0,Yearly,Bank Transfer,Yes
1144,,,Australia,25.0,106.04,1.0,,,Yes
1145,65,Male,india,4.0,51.9,1.0,,Bank Transfer,Yes
1146,59,,india,,136.46,4.0,monthly,Bank Transfer,Yes
1147,63,Female,Usa,37.0,120.36,2.0,Yearly,Credit Card,No
1148,18,Female,,54.0,156.16,1.0,Yearly,Credit Card,No
1149,,Female,USA,10.0,95.72,1.0,,Bank Transfer,Yes
1150,58,M,,35.0,105.57,2.0,monthly,crypto,No
1151,51,F,Canada,27.0,10.38,1.0,,Bank Transfer,Yes
1152,61,,,59.0,72.63,3.0,monthly,Bank Transfer,No
1153,60,,Australia,22.0,71.82,1.0,,Bank Transfer,Yes
1154,66,M,india,7.0,78.89,3.0,,,No
1155,,,Canada,1.0,92.88,1.0,,Bank Transfer,No
1156,68,Female,india,59.0,62.99,2.0,Monthly,,Yes
1157,33,,USA,40.0,113.87,2.0,monthly,,No
1158,67,Male,Australia,2.0,33.96,2.0,monthly,,No
1159,25,M,Canada,29.0,163.88,0.0,monthly,,Yes
1160,20,Female,UK,32.0,95.41,5.0,,PayPal,Yes
1161,20,,Usa,24.0,71.17,1.0,Yearly,Bank Transfer,Yes
1162,25,M,UK,54.0,104.38,7.0,Yearly,crypto,Yes
1163,69,M,UK,37.0,23.58,1.0,,Bank Transfer,Yes
1164,65,,Canada,18.0,89.78,3.0,Yearly,,Yes
1165,59,,Canada,2.0,42.47,,Monthly,,No
1166,37,F,india,5.0,115.56,2.0,monthly,crypto,Yes
1167,39,M,Australia,44.0,59.9,1.0,Yearly,Bank Transfer,Yes
1168,63,,,23.0,69.93,0.0,Monthly,Bank Transfer,Yes
1169,31,Female,UK,9.0,120.38,2.0,Yearly,PayPal,No
1170,39,Female,,43.0,48.67,6.0,,Credit Card,Yes
1171,51,Female,UK,17.0,73.33,3.0,,Bank Transfer,Yes
1172,39,M,Usa,21.0,53.04,2.0,,PayPal,No
1173,24,,Australia,10.0,52.71,3.0,Monthly,PayPal,Yes
1174,19,M,india,54.0,69.56,2.0,,Credit Card,Yes
1175,,F,india,11.0,85.96,2.0,,Bank Transfer,Yes
1176,52,M,india,54.0,142.44,3.0,monthly,crypto,Yes
1177,37,F,india,19.0,70.86,1.0,,crypto,No
1178,62,,india,43.0,114.48,0.0,,crypto,Yes
1179,26,,Usa,40.0,3069.0,3.0,Yearly,crypto,No
1180,56,Male,Usa,35.0,94.99,2.0,,crypto,No
1181,36,,Canada,37.0,95.98,0.0,monthly,,No
1182,66,,Canada,17.0,77.77,1.0,Yearly,,No
1183,41,,Canada,19.0,98.62,5.0,,Bank Transfer,Yes
1184,42,,USA,12.0,92.89,1.0,Yearly,,No
1185,24,Female,USA,14.0,86.23,0.0,,PayPal,Yes
1186,24,,Australia,9.0,,3.0,Yearly,crypto,No
1187,52,M,Canada,18.0,75.38,3.0,Yearly,,Yes
1188,61,Female,USA,45.0,86.66,2.0,monthly,Credit Card,Yes
1189,32,M,Canada,56.0,65.64,3.0,Yearly,,No
1190,33,M,UK,45.0,39.52,,monthly,Bank Transfer,Yes
1191,59,F,,34.0,97.57,0.0,Yearly,crypto,No
1192,unknown,F,UK,13.0,99.23,0.0,,Credit Card,No
1193,63,Male,Usa,52.0,74.84,0.0,monthly,,Yes
1194,66,M,india,29.0,79.27,2.0,,Bank Transfer,No
1195,47,,,25.0,63.34,2.0,Monthly,,No
1196,66,,USA,3.0,24.16,3.0,Yearly,PayPal,No
1197,63,,UK,15.0,71.01,2.0,Monthly,crypto,Yes
1198,29,Male,india,59.0,75.03,4.0,Monthly,,Yes
1199,69,M,Usa,4.0,55.23,3.0,,Credit Card,No
1200,62,,Usa,46.0,60.87,1.0,,crypto,Yes
1201,20,,UK,56.0,64.07,1.0,,PayPal,Yes
1202,64,M,Australia,23.0,122.62,1.0,Yearly,crypto,No
1203,49,,,35.0,62.88,1.0,Monthly,PayPal,Yes
1204,64,F,india,25.0,126.43,0.0,,PayPal,Yes
1205,58,Female,india,56.0,133.88,1.0,,,No
1206,26,,india,3.0,96.3,1.0,Yearly,,No
1207,41,M,Usa,15.0,112.51,0.0,Yearly,Bank Transfer,No
1208,22,Female,,48.0,54.77,2.0,Monthly,,No
1209,34,Female,Australia,50.0,79.75,3.0,monthly,Credit Card,Yes
1210,57,,india,34.0,113.11,3.0,,PayPal,No
1211,65,M,USA,41.0,83.98,1.0,,PayPal,Yes
1212,59,M,,36.0,121.46,2.0,monthly,,No
1213,68,,Australia,31.0,99.46,1.0,Monthly,,Yes
1214,unknown,,india,53.0,59.31,3.0,,,Yes
1215,49,,Canada,13.0,94.85,3.0,,crypto,Yes
1216,41,Female,Usa,45.0,70.77,4.0,Monthly,,Yes
1217,47,,USA,37.0,86.57,0.0,Yearly,Credit Card,Yes
1218,21,,Usa,20.0,66.61,2.0,Monthly,,No
1219,,M,india,54.0,4027.0,2.0,Monthly,Credit Card,Yes
1220,67,M,,14.0,63.23,1.0,,,Yes
1221,28,,,33.0,91.32,2.0,Monthly,crypto,No
1222,40,,USA,26.0,76.61,1.0,monthly,,Yes
1223,58,Female,UK,39.0,43.25,2.0,Monthly,,No
1224,49,Male,UK,2.0,58.3,0.0,,Credit Card,No
1225,20,F,Usa,17.0,101.93,1.0,Monthly,,No
1226,46,Male,Canada,21.0,24.6,3.0,monthly,Credit Card,No
1227,66,Female,Canada,25.0,63.0,3.0,,Credit Card,No
1228,63,Male,Canada,25.0,90.28,4.0,monthly,Bank Transfer,Yes
1229,41,F,Canada,58.0,93.7,3.0,,,No
1230,34,,USA,44.0,90.97,,,crypto,Yes
1231,39,Female,india,54.0,32.61,2.0,monthly,crypto,Yes
1232,30,F,Canada,17.0,66.43,2.0,,,Yes
1233,50,Male,Australia,38.0,7.28,3.0,monthly,crypto,Yes
1234,29,,UK,57.0,70.3,1.0,,,Yes
1235,50,F,Canada,10.0,81.43,2.0,,Credit Card,No
1236,50,M,,33.0,65.87,2.0,,PayPal,No
1237,67,,Australia,15.0,112.25,1.0,,,No
1238,66,M,Usa,40.0,121.98,0.0,Yearly,,No
1239,23,,Usa,9.0,107.74,0.0,,Credit Card,Yes
1240,49,,india,41.0,100.95,4.0,,,Yes
1241,37,Male,Canada,16.0,91.8,3.0,Yearly,Bank Transfer,No
1242,58,,Australia,42.0,130.57,3.0,Monthly,Bank Transfer,Yes
1243,36,M,Usa,55.0,66.19,3.0,,PayPal,Yes
1244,49,F,UK,51.0,40.66,2.0,,Credit Card,Yes
1245,68,Male,Usa,35.0,115.95,1.0,,Credit Card,Yes
1246,32,Male,Canada,33.0,69.9,5.0,,,No
1247,41,F,india,50.0,90.55,4.0,,Credit Card,Yes
1248,19,Male,UK,15.0,74.82,3.0,,crypto,No
1249,62,,Usa,18.0,106.51,2.0,Yearly,Bank Transfer,No
1250,25,Male,Australia,36.0,89.71,1.0,,crypto,No
1251,64,F,UK,14.0,71.26,2.0,monthly,PayPal,No
1252,23,,,17.0,91.23,2.0,,Bank Transfer,Yes
1253,57,Female,Australia,12.0,77.39,0.0,Monthly,crypto,No
1254,62,F,,23.0,33.32,0.0,,,No
1255,31,F,UK,16.0,71.83,3.0,,Bank Transfer,No
1256,37,,Canada,8.0,125.02,1.0,Monthly,PayPal,No
1257,60,,UK,37.0,105.51,3.0,Yearly,,No
1258,45,M,Usa,47.0,70.9,0.0,Monthly,crypto,No
1259,67,F,Australia,14.0,1263.0,0.0,monthly,Credit Card,No
1260,54,Female,Australia,20.0,84.48,1.0,,crypto,No
1261,22,Male,USA,33.0,,1.0,Yearly,crypto,No
1262,,Female,Usa,20.0,107.49,2.0,monthly,Credit Card,No
1263,61,,UK,38.0,90.39,1.0,,,Yes
1264,unknown,F,USA,52.0,51.85,,monthly,Credit Card,No
1265,25,Female,Australia,29.0,99.33,2.0,monthly,PayPal,No
1266,51,Female,Usa,1.0,79.07,,Yearly,crypto,No
1267,25,Female,Australia,25.0,140.1,2.0,Yearly,Credit Card,No
1268,33,Female,UK,14.0,129.0,0.0,,Bank Transfer,Yes
1269,45,M,UK,2.0,45.61,1.0,Monthly,PayPal,No
1270,26,,india,33.0,,4.0,monthly,PayPal,No
1271,63,M,india,4.0,72.43,5.0,Monthly,,Yes
1272,,Male,,54.0,39.78,3.0,,,No
1273,46,,UK,25.0,114.93,3.0,Yearly,,No
1274,28,,Usa,35.0,93.53,6.0,Yearly,Credit Card,Yes
1275,42,F,india,12.0,48.53,1.0,Monthly,Credit Card,Yes
1276,32,M,india,44.0,7.51,4.0,monthly,,Yes
1277,60,F,Canada,55.0,64.01,1.0,,crypto,No
1278,32,Female,Canada,25.0,44.4,1.0,Monthly,PayPal,Yes
1279,,Female,USA,34.0,125.92,1.0,Monthly,,No
1280,69,,Canada,46.0,109.13,2.0,Monthly,PayPal,Yes
1281,35,F,USA,2.0,61.48,1.0,Monthly,,No
1282,,,,30.0,96.5,1.0,,PayPal,Yes
1283,24,Male,UK,56.0,50.95,,monthly,Credit Card,No
1284,37,Male,UK,4.0,94.31,0.0,Yearly,,No
1285,30,,Australia,55.0,11.69,4.0,Monthly,,Yes
1286,41,,india,58.0,102.19,2.0,monthly,crypto,No
1287,21,Male,UK,50.0,72.39,5.0,,crypto,No
1288,67,Female,Australia,5.0,95.73,2.0,monthly,,Yes
1289,65,Female,USA,37.0,57.95,3.0,monthly,Bank Transfer,Yes
1290,,F,india,13.0,77.35,1.0,Yearly,Credit Card,Yes
1291,38,Female,UK,18.0,157.39,2.0,Monthly,,No
1292,66,Male,UK,11.0,89.08,2.0,monthly,Credit Card,Yes
1293,57,,Australia,37.0,,2.0,Yearly,Bank Transfer,Yes
1294,23,F,UK,41.0,49.33,2.0,,,No
1295,49,Female,Australia,21.0,142.4,2.0,,Credit Card,No
1296,61,,,58.0,116.83,4.0,Yearly,Credit Card,No
1297,25,M,USA,22.0,43.71,2.0,Yearly,PayPal,Yes
1298,48,,,47.0,85.08,0.0,,crypto,No
1299,33,Female,UK,12.0,37.59,4.0,,Credit Card,No
1300,45,,UK,51.0,82.19,3.0,Yearly,crypto,Yes
1301,56,Female,USA,32.0,2150.0,0.0,Yearly,Bank Transfer,Yes
1302,,Female,,12.0,101.24,0.0,,,Yes
1303,50,Female,Usa,23.0,108.7,1.0,Yearly,,No
1304,38,Female,Australia,2.0,82.62,1.0,,crypto,Yes
1305,40,,UK,26.0,101.24,5.0,Monthly,PayPal,No
1306,59,Male,,12.0,66.84,5.0,monthly,PayPal,Yes
1307,38,Male,Usa,,114.99,1.0,,crypto,No
1308,35,F,,14.0,81.52,1.0,Monthly,Credit Card,No
1309,,Male,USA,36.0,85.11,1.0,Monthly,Bank Transfer,No
1310,33,,UK,54.0,64.51,3.0,Yearly,crypto,No
1311,38,Male,USA,34.0,107.95,1.0,Monthly,crypto,Yes
1312,62,,Australia,12.0,77.89,2.0,Monthly,crypto,Yes
1313,23,F,Usa,32.0,94.6,1.0,,Bank Transfer,Yes
1314,40,F,Canada,19.0,114.32,1.0,Monthly,Credit Card,No
1315,28,,UK,50.0,19.53,0.0,,,No
1316,32,M,USA,9.0,43.08,0.0,,,Yes
1317,45,Female,UK,46.0,72.19,0.0,,PayPal,Yes
1318,33,,,16.0,80.47,4.0,monthly,,No
1319,unknown,,india,39.0,58.14,4.0,,,Yes
1320,44,Male,,28.0,40.49,2.0,,,No
1321,44,Female,Canada,21.0,77.75,0.0,,Bank Transfer,Yes
1322,,M,Canada,,63.61,1.0,,,Yes
1323,38,M,Usa,26.0,91.75,4.0,Monthly,PayPal,No
1324,52,,Australia,49.0,21.2,1.0,Yearly,Credit Card,No
1325,43,,india,,141.82,3.0,Yearly,Credit Card,No
1326,46,Female,Canada,52.0,70.79,1.0,Monthly,PayPal,No
1327,34,F,india,56.0,110.78,2.0,Monthly,Bank Transfer,Yes
1328,46,,,33.0,77.35,5.0,monthly,,No
1329,41,,USA,45.0,107.64,1.0,Yearly,Bank Transfer,No
1330,18,M,Australia,23.0,73.13,0.0,monthly,,No
1331,unknown,,,1.0,82.7,0.0,Monthly,crypto,Yes
1332,41,M,,35.0,55.93,1.0,Yearly,PayPal,Yes
1333,32,,Australia,19.0,118.96,1.0,monthly,Bank Transfer,No
1334,60,,Usa,58.0,88.48,2.0,,,No
1335,49,,Canada,48.0,58.76,4.0,Monthly,crypto,Yes
1336,67,,,3.0,88.44,3.0,Yearly,Bank Transfer,Yes
1337,67,M,Canada,10.0,52.23,4.0,,,Yes
1338,48,Male,,16.0,96.15,0.0,Yearly,PayPal,Yes
1339,32,F,UK,17.0,112.18,2.0,Yearly,Bank Transfer,Yes
1340,,Female,india,58.0,97.38,1.0,,crypto,No
1341,49,F,USA,51.0,84.43,,monthly,,Yes
1342,unknown,,UK,49.0,89.07,3.0,,,No
1343,63,M,Canada,7.0,30.22,1.0,Yearly,Bank Transfer,No
1344,39,F,USA,22.0,91.99,2.0,,,Yes
1345,41,Male,Australia,44.0,60.46,3.0,Monthly,,Yes
1346,unknown,,USA,23.0,102.6,2.0,Yearly,PayPal,Yes
1347,59,,india,58.0,91.43,0.0,Monthly,,Yes
1348,18,F,UK,44.0,73.73,2.0,monthly,,No
1349,63,F,UK,39.0,54.48,,Monthly,Credit Card,No
1350,53,,USA,22.0,86.93,1.0,monthly,Bank Transfer,No
1351,51,Male,,53.0,87.09,1.0,Monthly,Credit Card,Yes
1352,68,Female,Canada,31.0,101.67,3.0,Monthly,Bank Transfer,No
1353,41,F,Canada,54.0,68.82,2.0,Yearly,Credit Card,Yes
1354,57,Female,USA,39.0,115.0,0.0,Yearly,,No
1355,24,,,4.0,62.81,2.0,,crypto,Yes
1356,69,Male,Usa,4.0,79.4,2.0,Yearly,,No
1357,36,,USA,49.0,60.0,1.0,,PayPal,Yes
1358,,,,45.0,96.6,2.0,monthly,PayPal,No
1359,66,Female,india,55.0,65.19,1.0,,crypto,Yes
1360,66,Male,Australia,59.0,3804.0,2.0,Monthly,Credit Card,No
1361,23,,Usa,4.0,100.95,1.0,,Bank Transfer,No
1362,32,F,USA,6.0,,2.0,monthly,,No
1363,47,Female,Australia,54.0,38.7,2.0,,PayPal,Yes
1364,36,Female,Australia,42.0,67.66,2.0,Monthly,,Yes
1365,38,,india,10.0,95.86,3.0,Monthly,,No
1366,56,,,50.0,83.0,0.0,Yearly,Credit Card,No
1367,58,M,india,54.0,84.38,1.0,Yearly,Bank Transfer,No
1368,48,F,,20.0,90.6,0.0,monthly,,No
1369,61,,UK,42.0,83.65,1.0,Yearly,,Yes
1370,52,M,Usa,55.0,73.21,2.0,,,No
1371,30,Male,india,6.0,91.02,0.0,monthly,PayPal,No
1372,62,Male,Usa,36.0,7.27,2.0,,Credit Card,Yes
1373,28,Female,india,20.0,106.52,0.0,,crypto,No
1374,65,M,india,7.0,114.79,4.0,,PayPal,No
1375,40,,UK,26.0,68.69,1.0,Monthly,PayPal,Yes
1376,68,Male,Australia,25.0,61.78,0.0,Monthly,Bank Transfer,No
1377,39,Female,Canada,55.0,128.88,2.0,monthly,crypto,No
1378,45,,UK,58.0,123.16,2.0,,,No
1379,51,Female,Usa,1.0,86.29,1.0,,crypto,Yes
1380,39,Female,Usa,48.0,73.97,3.0,monthly,crypto,Yes
1381,64,M,USA,40.0,75.75,0.0,,crypto,Yes
1382,27,M,india,35.0,60.62,1.0,,Credit Card,Yes
1383,63,Female,,52.0,56.02,1.0,,,Yes
1384,38,F,Usa,15.0,71.25,2.0,,Credit Card,Yes
1385,42,F,Usa,56.0,33.1,3.0,Monthly,,Yes
1386,23,,,39.0,111.15,3.0,monthly,,Yes
1387,27,F,Australia,8.0,95.16,2.0,,,No
1388,38,,,8.0,66.58,,,PayPal,Yes
1389,,F,india,6.0,118.43,4.0,monthly,PayPal,No
1390,57,Female,UK,38.0,69.96,2.0,,Credit Card,No
1391,60,,USA,37.0,67.89,2.0,monthly,PayPal,Yes
1392,49,Female,Canada,9.0,80.73,5.0,Yearly,,No
1393,55,Female,USA,58.0,122.37,1.0,monthly,Bank Transfer,Yes
1394,44,F,Australia,5.0,115.62,2.0,,Credit Card,No
1395,22,,UK,35.0,157.69,2.0,Monthly,,Yes
1396,67,,UK,6.0,49.8,3.0,,,Yes
1397,51,,Usa,22.0,114.2,2.0,monthly,,Yes
1398,38,,Usa,28.0,63.04,2.0,,,Yes
1399,40,M,USA,48.0,67.68,4.0,Monthly,,Yes
1400,50,F,Australia,20.0,65.33,1.0,Monthly,,No
1401,64,,india,39.0,88.92,1.0,Monthly,,No
1402,18,,Australia,8.0,106.04,1.0,,Credit Card,Yes
1403,38,,Usa,35.0,68.66,4.0,Monthly,,Yes
1404,26,Male,Australia,35.0,105.78,0.0,,Credit Card,Yes
1405,,Female,UK,34.0,90.39,3.0,monthly,PayPal,No
1406,52,Male,Usa,19.0,63.94,4.0,,crypto,No
1407,68,,UK,3.0,77.28,2.0,monthly,PayPal,No
1408,24,Male,UK,14.0,,3.0,,,No
1409,55,Female,Australia,53.0,112.58,1.0,Monthly,Credit Card,No
1410,47,,,,79.42,2.0,,Bank Transfer,Yes
1411,31,F,,30.0,70.9,1.0,,Credit Card,No
1412,45,Female,,8.0,69.29,3.0,Monthly,,Yes
1413,66,Male,Australia,48.0,103.83,0.0,Yearly,crypto,No
1414,52,,Canada,11.0,57.99,2.0,,,No
1415,26,F,Canada,9.0,81.08,5.0,Yearly,,Yes
1416,29,,UK,54.0,124.22,4.0,,,Yes
1417,37,Male,,57.0,69.44,2.0,Monthly,Bank Transfer,Yes
1418,45,,Australia,4.0,72.3,5.0,,Credit Card,Yes
1419,23,Female,,22.0,7.92,,,,Yes
1420,29,M,UK,6.0,73.39,1.0,,Bank Transfer,No
1421,62,Male,Usa,20.0,17.96,1.0,,,No
1422,55,Female,india,49.0,112.53,,Yearly,crypto,Yes
1423,58,M,USA,9.0,62.67,3.0,,Bank Transfer,No
1424,56,Female,,55.0,79.44,2.0,Monthly,crypto,Yes
1425,63,Female,Usa,45.0,112.28,2.0,,Credit Card,No
1426,25,,Usa,53.0,105.24,4.0,monthly,PayPal,No
1427,63,Female,Australia,23.0,45.04,2.0,Yearly,PayPal,Yes
1428,37,Male,USA,18.0,104.56,2.0,,Credit Card,No
1429,64,,,28.0,43.85,3.0,,PayPal,Yes
1430,58,F,india,39.0,133.46,4.0,,Credit Card,No
1431,unknown,,UK,57.0,48.04,1.0,Yearly,,No
1432,23,,Canada,27.0,86.3,5.0,monthly,Bank Transfer,No
